target,dataset,model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,kappa,labels
quality,val,Baseline mayoría,0.5633,0.1878,0.3333,0.2402,0.4059,0.0,"bad, regular, good"
quality,test,Baseline mayoría,0.5645,0.1882,0.3333,0.2405,0.4073,0.0,"bad, regular, good"
size,val,Baseline mayoría,0.3333,0.1111,0.3333,0.1667,0.1667,0.0,"small, medium, large"
size,test,Baseline mayoría,0.3331,0.111,0.3333,0.1666,0.1664,0.0,"small, medium, large"
quality,train,Random Forest,0.9987,0.9985,0.9987,0.9986,0.9987,0.9977,"bad, regular, good"
quality,val,Random Forest,0.9567,0.9447,0.9457,0.9451,0.9568,0.9256,"bad, regular, good"
quality,test,Random Forest,0.9584,0.9507,0.9425,0.9465,0.9582,0.9279,"bad, regular, good"
quality,train,SVM lineal,1.0,1.0,1.0,1.0,1.0,1.0,"bad, regular, good"
quality,val,SVM lineal,0.899,0.8651,0.8796,0.8719,0.8998,0.8284,"bad, regular, good"
quality,test,SVM lineal,0.8927,0.86,0.8575,0.8583,0.8917,0.8153,"bad, regular, good"
size,train,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,"small, medium, large"
size,val,Random Forest,0.7524,0.7602,0.7524,0.753,0.753,0.6286,"small, medium, large"
size,test,Random Forest,0.7582,0.7683,0.7583,0.7582,0.7582,0.6373,"small, medium, large"
size,train,SVM lineal,0.9963,0.9963,0.9963,0.9963,0.9963,0.9944,"small, medium, large"
size,val,SVM lineal,0.617,0.6186,0.617,0.6172,0.6172,0.4255,"small, medium, large"
size,test,SVM lineal,0.6709,0.6692,0.671,0.6696,0.6695,0.5064,"small, medium, large"
