,count,mean,std,min,25%,50%,75%,max
object_area_ratio,8803.0,0.27648239986052736,0.267472423808284,0.0,0.0,0.17472330729166666,0.5083957248263888,0.7799750434027778
bbox_width_ratio,8803.0,0.516195946457647,0.3930508444998051,0.0,0.0,0.5208333333333334,0.9427083333333334,1.0
bbox_height_ratio,8803.0,0.49478989170358595,0.3748771442242435,0.0,0.0,0.5364583333333334,0.828125,1.0
bbox_area_ratio,8803.0,0.3874459147794865,0.35862554067235264,0.0,0.0,0.2869466145833333,0.7161458333333334,1.0
diameter_px_normalized_base,6392.0,136.8534037939857,48.233855762778305,14.06234769766575,94.16490307864032,153.91627434611684,180.76420296697637,191.70119027939424
normalized_diameter,6392.0,0.7127781447603421,0.2512179987644703,0.07324139425867578,0.490442203534585,0.8016472622193584,0.9414802237863352,0.998443699371845
estimated_diameter_cm,6392.0,82.30453074997313,29.008155842389204,8.457187738213994,56.63138764652918,92.56625252749461,108.71277212794995,115.29034772060409
skin_noise_ratio,8803.0,0.17731209710803295,0.14233440257936245,0.0,0.056979709201388895,0.1427951388888889,0.2710639105902778,0.8194444444444444
segmentation_confidence,8803.0,0.5094671638281291,0.32958613838536416,0.0,0.0,0.6480826786901084,0.7339445860164955,0.9801712833995103
blur_score,8803.0,244.37371405214128,317.45162243622684,0.736139,71.59746200000001,138.786865,295.636246,3508.637207
blur_score,8803.0,737.8221073623318,586.2594786861737,1.3511280483669705,404.87479795313175,586.1495658703792,835.6615132737307,6950.291715727177
